"Action","Action"
"All types","All types"
"Backups Control","Backup Control"
"Backups Control","Backup Control"
"Backup file doesn't exist","Backup file doesn't exist"
"Backups","Backups"
"Cannot read backup file","Cannot read backup file"
"Create Backup","Create Backup"
"DB","DB"
"Download","Download"
"File compressed with Zlib, but this extension is not installed on server","File compressed with Zlib, but this extension is not installed on server"
"Time","Time"
"Type","Type"
"Wrong order of creation for new backup","Wrong order of creation for new backup"
