"Configuration","אפשרויות"
"General options","אופציות ראשיות"
"Is enabled","מופעל"
"Display options","להראות אפשרויות"
"Chat label","סמן צ\'ט"
"LiveChat configuration","אפשרויות LiveChat "
"LiveChat operators","אופרטורים LiveChat "
"Operators","אופרטורים"
"Operators list","רשימת אופרטורים"
"Create new operator","ליצור אופרטור חדש"
"Operator's data","נתוני אופרטור"
"Password","סיסמא"
"Name","שם"
"Enabled","מופעל"
"Disabled","מבוטל"
"Save","שמירה"
"Create","ליצור"
"Operator %s has been successfully created.","אופרטור %s נוצר בהצלחה"
"Operator %s has been successfully modified.","אופרטור %s  תוקן בהצלחה"
"Operator %s has been successfully deleted.","אופרטור %s  נמחק בהצלחה"
"Edit operator","עריכת אופרטור"
"disabled","מבוטל"
"Send","שליחה"
"Chat refresh frequency","תדירות רענון הצ\'ט"
"Chat refresh decay","תדירות רענון הצ\'ט"
"Image style","סגנון תמונה"
"Get chat list","רשימת צ\'טים"
"Get chat messages messages","רשימת הודעות צ\'טים"
"Send message to customer","שלח הודעה ללקוח"
"Operator disconnection","ניתוק אופרטור"
"Operator connection","חיבור אופרטור"
"Title label","סמן כותרת"
"Unavailable message","הודעת לא זמין"
"Default customer name","ברירת מחדל שם לקוח"
"Get new messages","ראה הודות חדשות"
"Get new sessions","ראה כניסות חדשות"
"System name","שם של מערכת"
"System wait message","הודעת מערכת - להמתין"
"Customers chat list","רשימת לקוחות בצ\'אט"
"Customer name","שם לקוח"
"Started at","התחיל ב"
"Dispatched to","נשלח ל"
"Store","חנות"
"State","מדינה"
"Not dispatched","לא נשלח"
"Closed","נסגר"
"Close","לסגור"
"Open","לפתוח"
"Are you sure ?","האם אתה בטוח?"
"Total of %d record(s) were successfully deleted","סך הכל %d נמחקו בהצלחה"
"Please select chat(s)","אנא בחר צ\'אט"
"Status","סטטוס"
"Online","אונליין"
"Disconnected","מנותק"
"Autor","מאת"
"Message","הודעה"
"Placed at","מוקם ב"
"Please select message(s)","בחר הודעה"
"Delete","מחק"
"-- Session terminated --","-- "
"Total of %d record(s) were successfully closed","סך הכל %d רשימות נסגרו בהצלחה"
"There is no chat available for operator %s","אין צאט זמין עבור %d "
"This session is closed, you cannot send message.","אינך יכול לשלוח הודעות"
"Access denied for %s","אין גישה עבור %s"
"Operator access","גישת אופרטור"
"Operator %s is now disconnected and no longer appear online.","אופרטור %s התנתק ולא נמצא אונליין"
"Operator %s has just been created configure the store allowed for him <a href=\'%s\'>here</a>.","אופרטור %s נוצר, הגדר עבורו חנות <a href=\'%s\'>כאן</a>."
"Admin refresh rate","קצב רענון של אדמין"
"Behaviour","התנהגות"
"On Operator disconnect","כאשר האופרטור מתנתק"
"On chat session close","כאשר נסגר הצ\'אט"
"On customer connexion","כאשר הלקוח מתחבר"
"Close dispatched chat session","סגור צאטים שנפתרו"
"Undispatch non-closed chat session","לא לשלוח צ\'אטים שאינם סגורים"
"Send a close message","שלח הודעת סגירה"
"Allow to reopen a closed chat session","הרשה לפתוח מחדש צ\'אט שסגר"
"Replace the chat session creator name","החלף שם יוזם הצ\'אט"
"Replace all customer's messages autor name","החלף שם לקוח בכל ההודעות"
"When the customer sends a message","כאשר לקוח שולח הודעה"
"System message when session is automatically created","הודעת מערכת כאשר נוצר צ\'אט באופן אוטומטי"
"Chat session creation","יצירת צ\'אט"
"When customer send his first message","כאשר לקוח שולח את הודעתו הראשונה"
"Automatically create a new chatsession for everyone","צור צ\'אט חדש באופן אוטומטי עבור כולם"
"Automatically create a new chat session for every customer logged in","אוטומטית ליצור צ\'אט עבור על לקוח שנכנס למערכת"
"Customer url","קישור לקוח"
"Total of %d record(s) were successfully opened","סך הכל %d רשומות נפתחו בהצלחה"
"Running chat sessions","צ\'אטים רצים"
"Archived chat sessions"," צ\'אטים בארכיון"
"View archived sessions","ראה צ\'אטים שנשמרו בארכיון"
"View live sessions","ראה צ\'אטים חיים"
"Back","חזרה"
"Messages","הודעות"
"Total of %d record(s) were successfully archived","סך הכל %d רשימות נשמרו ארכיון"
"Archive","ארכיון"
"Close a session","סגור צ\'אט"
"Display LiveChat box in front office.","הצג חלון של LiveChat בקדמת האתר"
"Message refresh interval for customer (in seconds).","תדירות רענון הודעות עבור לקוח"
"Admin operator page refresh rate (in seconds).","תדירות רענון הודעות עבור מנהל אתר"
"Message which is displaying when no operator are online.","הודעה שמוצגת כאשר האופרטור אינו זמין"
"Name of the customer when not logged in.","שם לקוח כאשר אינו נכנס למערכת"
"Sender name of the automatic messages.","שם של שולח הודעות אוטומטיות"
"Message sent when a customer has just started a chat session.","הודעה הנשלחת בפתיחת צ\'אט על-ידי הלקוח"
"Message sent when a chat has been automatically created.","הודעה הנשלחת כאשר הצ\'אט נפתח אוטומטית"
"The chat session is closed, so no operator can get it.",""
"The chat session is released, so another operator can get it.",""
"If the chat session is not archived the customer can reactivate it by sending a new message.",""
"Archived session are definitevely closed. If not chat sessions are only closed.",""
"Total of %d record(s) were successfully disconnected",""
"Disconnect",""
"Update existing sessions",""
"Maximum number of lines displayed",""
"Set 0 to display all lines",""
"When the session expire",""
"Archivate the session",""
"Session",""
"Sessions Live",""
"Display only for registered user",""
"If yes, only connected customer can see the chatbox.",""
"Reporting",""
"Convert rate",""
"Chat with order",""
"Chat without order",""
"Hide LiveChat box when no operator are presents",""
"If yes, the chatbox will disapear when no operator are present.",""
"New operator must be affected to a store",""
"The created operator %s must be affected to a store, whithout that he will never be considered online.",""
"Configure",""
"No store affected",""
"Affected stores",""
